campaign,depth (m lat),"Min of SPMC_(0.0,_459.0]_mean","Mean of SPMC_(0.0,_459.0]_mean","Max of SPMC_(0.0,_459.0]_mean"
grid_Multiingest_0095_6565_20690,-22.0,9.594894246311046,30.878279865352628,46.5455311188303
grid_Multiingest_0095_6565_20690,-21.0,9.557265768744047,29.584372265713718,51.10520866608068
grid_Multiingest_0095_6565_20690,-20.0,11.783794026312144,29.61125019841878,130.47671357723596
grid_Multiingest_0095_6565_20690,-19.0,14.240589404953436,30.25515950100183,60.8553518326184
grid_Multiingest_0095_6565_20690,-18.0,16.033487956274307,30.43226637270658,51.64981354522965
grid_Multiingest_0095_6565_20690,-17.0,9.482188115880117,29.976578310986614,59.60363441484332
grid_Multiingest_0095_6565_20690,-16.0,9.51258285519703,29.003217415914893,57.30685412252694
grid_Multiingest_0095_6565_20690,-15.0,10.80930011080468,27.930659705158924,49.64925585708678
grid_Multiingest_0095_6565_20690,-14.0,14.128702530068777,27.16693019669342,71.76243634624593
grid_Multiingest_0095_6565_20690,-13.0,15.35768031414144,26.725455881941976,99.20349269853322
grid_Multiingest_0095_6565_20690,-12.0,13.791816674689752,26.402484778032697,111.73537674390248
grid_Multiingest_0095_6565_20690,-11.0,15.605225892960032,26.112217421187477,121.96840102254504
grid_Multiingest_0095_6565_20690,-10.0,14.75642380746681,25.919601244370075,130.82577206713805
grid_Multiingest_0095_6565_20690,-9.0,12.451898327111515,25.60729406904576,198.06171776752618
grid_Multiingest_0095_6565_20690,-8.0,14.145953398373305,25.23865098964259,198.5706845411397
grid_Multiingest_0095_6565_20690,-7.0,10.460814174588485,24.891628951465027,214.5615200425392
grid_Multiingest_0095_6565_20690,-6.0,10.902223799937723,24.582008322791456,179.09743295546664
grid_Multiingest_0095_6565_20690,-5.0,13.564212951156358,24.439053010465756,88.48150973296993
grid_Multiingest_0095_6565_20690,-4.0,12.127539004779,24.563591141437183,117.06370563140383
grid_Multiingest_0095_6565_20690,-3.0,12.924941436600918,25.045159536715367,66.25819544779866
grid_Multiingest_0095_6565_20690,-2.0,14.30633962873616,26.341863251237037,89.34550042212808
grid_Multiingest_0095_6565_20690,-1.0,16.45394764911563,29.96315075164511,114.77183045574695
grid_Multiingest_0095_6565_20690,0.0,22.40805674801573,41.56162505773997,257.6726615222687
grid_Multiingest_0095_6565_21092,-24.0,,,
grid_Multiingest_0095_6565_21092,-23.0,9.23540524963548,22.620466676097852,35.779611048105124
grid_Multiingest_0095_6565_21092,-22.0,9.23540524963548,20.81538690413889,56.184009848468165
grid_Multiingest_0095_6565_21092,-21.0,9.361545593940436,20.587356235682652,41.608878626275406
grid_Multiingest_0095_6565_21092,-20.0,9.462158035978161,20.60550413229781,76.96381839793453
grid_Multiingest_0095_6565_21092,-19.0,9.429176642162309,20.822618651949213,44.53434776570727
grid_Multiingest_0095_6565_21092,-18.0,9.422645131323312,21.055379770048063,45.34776081129753
grid_Multiingest_0095_6565_21092,-17.0,9.624267571886085,21.19025666759085,42.430112009793646
grid_Multiingest_0095_6565_21092,-16.0,10.092164581079262,21.294339079190653,48.54890449278716
grid_Multiingest_0095_6565_21092,-15.0,13.979575750810294,21.45882918601182,38.8609219857461
grid_Multiingest_0095_6565_21092,-14.0,13.66041846121872,21.73648183760254,46.96602596119052
grid_Multiingest_0095_6565_21092,-13.0,12.979070670643214,22.10991863977383,48.57283657341892
grid_Multiingest_0095_6565_21092,-12.0,9.323839436931806,22.608175789094382,58.10386702677393
grid_Multiingest_0095_6565_21092,-11.0,15.345769556142395,23.20646888185043,55.76937414559172
grid_Multiingest_0095_6565_21092,-10.0,15.39144936416425,23.014354302004403,64.80596627010489
grid_Multiingest_0095_6565_21092,-9.0,9.693396871324198,21.302874790712117,55.27670618184641
grid_Multiingest_0095_6565_21092,-8.0,9.993699697792609,19.95668137718969,42.916375827718284
grid_Multiingest_0095_6565_21092,-7.0,10.334963251168732,19.061580058382777,41.52008623162468
grid_Multiingest_0095_6565_21092,-6.0,10.8168732492512,18.277498186820544,40.46661565372749
grid_Multiingest_0095_6565_21092,-5.0,11.341814960912098,17.631516106372803,34.693858958209
grid_Multiingest_0095_6565_21092,-4.0,11.954588639399873,17.204627286100248,39.33294265767429
grid_Multiingest_0095_6565_21092,-3.0,12.783964881011102,17.074454604952383,31.13252521607239
grid_Multiingest_0095_6565_21092,-2.0,13.92884257815271,17.529592102030044,31.949198894774497
grid_Multiingest_0095_6565_21092,-1.0,15.967829235856804,19.85514612499784,30.02823731756826
grid_Multiingest_0095_6565_21092,0.0,22.338734669188533,28.262686265326646,34.57665583756919
grid_Multiingest_0095_6565_21160,-27.0,,,
grid_Multiingest_0095_6565_21160,-26.0,9.858081799154025,25.107398972423322,42.09998731468987
grid_Multiingest_0095_6565_21160,-25.0,8.943414787588754,23.44959674710627,52.32232324671747
grid_Multiingest_0095_6565_21160,-24.0,9.041648057444577,23.157031585517952,46.55411825345253
grid_Multiingest_0095_6565_21160,-23.0,9.085635865018535,22.084744092509286,45.8290283166664
grid_Multiingest_0095_6565_21160,-22.0,8.995926917346232,21.910232552635247,96.72633916167682
grid_Multiingest_0095_6565_21160,-21.0,9.066271842315643,22.24789956917471,67.72764124685975
grid_Multiingest_0095_6565_21160,-20.0,10.788039405150494,23.210411075297426,60.93760527292351
grid_Multiingest_0095_6565_21160,-19.0,9.39670405296913,24.598889587333954,65.09673192167557
grid_Multiingest_0095_6565_21160,-18.0,12.110874533099707,24.982152219162778,79.28644011672887
grid_Multiingest_0095_6565_21160,-17.0,10.410281088523115,24.570890048914727,69.60009298420235
grid_Multiingest_0095_6565_21160,-16.0,8.897282099568244,26.15750880883839,83.90410647865362
grid_Multiingest_0095_6565_21160,-15.0,14.32278099173896,29.45814855317991,70.75217732580968
grid_Multiingest_0095_6565_21160,-14.0,16.863400181495546,31.068965308904218,68.02776291281282
grid_Multiingest_0095_6565_21160,-13.0,14.985785863631309,28.672799341978756,69.76442690900015
grid_Multiingest_0095_6565_21160,-12.0,14.996416897101396,24.700360693044153,52.11977071007397
grid_Multiingest_0095_6565_21160,-11.0,10.011592200650473,22.892832371597667,53.06374971338635
grid_Multiingest_0095_6565_21160,-10.0,10.374724299593437,22.26341329509129,66.67437589256522
grid_Multiingest_0095_6565_21160,-9.0,10.347749926500509,21.68544118756291,60.304647927014145
grid_Multiingest_0095_6565_21160,-8.0,9.968477469617198,21.22194423212896,59.9202151348801
grid_Multiingest_0095_6565_21160,-7.0,10.300896218966685,20.630860424240293,50.63684936527646
grid_Multiingest_0095_6565_21160,-6.0,10.728600116423767,19.41218243559455,44.68625314512275
grid_Multiingest_0095_6565_21160,-5.0,11.254711937664162,18.6741650517138,39.408877932230574
grid_Multiingest_0095_6565_21160,-4.0,11.917607663684212,18.260315634693388,51.06135065421416
