Campaign,Date,Time CTD (UTC),Station,lat,long,lat_real,lon_real,Depth (m),SPM concentration (mg/L),log10 SPM,Salinity (%:10),Temperature ( °C),OBS Turbidity (NTU),log10 Turb (NTU),Fluorescence (mg/m3),Hach turbidity (FNU)_1,Hach turbidity (FNU)_2,Hach turbidity (FNU)_3,Log 10 Tur (FNU)
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51° 16.616',2° 36.824',0.5,14.7,1.167317335,,,,,,4.41,4.06,3.63,0.559906625
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.785',2°36.936',2,13.2,1.120573931,34.275,7.6501,2.1779,0.338037935,6.4106,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.616',2°36.824',4,106,2.025305865,34.2742,7.6412,2.0109,0.303390474,6.4228,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.785',2°36.936',8,14.2,1.152288344,34.2745,7.64,2.0951,0.321204757,6.4894,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.907',2°36.925',12,10.2,1.008600172,34.2758,7.6404,2.3037,0.362425922,6.6022,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.785',2°36.936',16,18.9,1.276461804,34.2773,7.6446,2.3878,0.377997948,6.5018,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.907',2°36.925',20,11.5,1.06069784,34.2766,7.6437,2.405,0.381115081,7.0433,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.616',2°36.824',3,29,1.462397998,34.2742,7.6481,2.1062,0.323499608,6.4219,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.616',2°36.824',6,13.3,1.123851641,34.2745,7.6398,2.0395,0.30952371,6.4045,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.907',2°36.925',10,24.2,1.383815366,34.2751,7.6398,2.1683,0.33611937,6.3952,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.616',2°36.824',14,17,1.230448921,34.2768,7.6434,2.2689,0.355815355,6.8393,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.907',2°36.925',18,14.4,1.158362492,34.2774,7.645,2.5168,0.400848705,6.9047,,,,
21092,4/2/2021,8:59:59 AM,NZ215,51° 16.648',2° 36.797',51°16.616',2°36.824',21,17.6,1.245512668,34.2764,7.6439,2.5579,0.407883562,6.4829,,,,
21160,1/3/2021,9:21:02 AM,NZ215,51° 16.648',2° 36.797',51° 16.613',2° 36.677',0.5,30,1.477121255,,,,,,13.9,13.1,13.1,1.117271296
21160,1/3/2021,9:21:02 AM,NZ215,51° 16.648',2° 36.797',51°16.613',2°36.676',2,25.4,1.404833717,33.2512,6.5348,8.2737,0.91769977,36.422,,,,
21160,1/3/2021,9:21:02 AM,NZ215,51° 16.648',2° 36.797',51°16.614',2°36.677',4,38,1.579783597,33.2585,6.5381,8.2989,0.919020531,36.8955,,,,
21160,1/3/2021,9:21:02 AM,NZ215,51° 16.648',2° 36.797',51°16.614',2°36.677',8,32,1.505149978,33.3384,6.5803,8.4877,0.928790021,36.6556,,,,
21160,1/3/2021,9:21:02 AM,NZ215,51° 16.648',2° 36.797',51°16.613',2°36.676',12,37,1.568201724,33.5169,6.6707,9.4927,0.977389756,40.8746,,,,
21160,1/3/2021,9:21:02 AM,NZ215,51° 16.648',2° 36.797',51°16.614',2°36.677',16,85,1.929418926,33.5277,6.6768,9.2861,0.967833356,40.2388,,,,
