Volume conc (microl/l) 1,Volume conc (microl/l) 2,Volume conc (microl/l) 3,Volume conc (microl/l) 4,Volume conc (microl/l) 5,Volume conc (microl/l) 6,Volume conc (microl/l) 7,Volume conc (microl/l) 8,Volume conc (microl/l) 9,Volume conc (microl/l) 10,Volume conc (microl/l) 11,Volume conc (microl/l) 12,Volume conc (microl/l) 13,Volume conc (microl/l) 14,Volume conc (microl/l) 15,Volume conc (microl/l) 16,Volume conc (microl/l) 17,Volume conc (microl/l) 18,Volume conc (microl/l) 19,Volume conc (microl/l) 20,Volume conc (microl/l) 21,Volume conc (microl/l) 22,Volume conc (microl/l) 23,Volume conc (microl/l) 24,Volume conc (microl/l) 25,Volume conc (microl/l) 26,Volume conc (microl/l) 27,Volume conc (microl/l) 28,Volume conc (microl/l) 29,Volume conc (microl/l) 30,Volume conc (microl/l) 31,Volume conc (microl/l) 32,Volume conc (microl/l) 33,Volume conc (microl/l) 34,Volume conc (microl/l) 35,Volume conc (microl/l) 36,TVC_recal,Laser transmission Sensor [mW],Supply voltage in calibrated units [V],External Auxiliary input 1 in calibrated units [mW],Laser Reference sensor in calibrated units [mW],Depth in calibrated units [m],Temperature in calibrated units [C],year,Month,day,hour,minute,second,DATE,TIME,DATE  & Time (format gps),External Auxiliary input 2 in calibrated units [mW],Sauter Mean Diameter [?],Total Volume Concentration [ppm],Relative Humidity [%],Accelerometer X [counts],Accelerometer Y [counts],Accelerometer Z [counts],Raw pressure (most sign bit),Raw pressure (least sign 16 bits),Ambient light (counts),Not used,Computed optical transmission over path,Beam-attenuation (c) [m-1].,Current Time,Latitude_ship,Longitude_ship,Speed over Ground,GPSfix,Row Labels,Average of Salinity,Average of Temperature_C,Average of Turbidity_NTU,Average of Depth_m,Average of Chlorohyll_ug_L,Time,VPR lat,VPR long,VPR depth,majoraxis,minoraxis,angle,devz,linename,datetime,waterniveau LAT,waterniveau LAT smooth,Sonarscope LAT correction,Lisst_depth_m_LAT,inverted Depth in calibrated units [m],D10,D50,D75-D25,D75/D25,D90,D90-D10,D90/D10,Krumbein(Qd),PSD_slope,"TVC_(0.0, 3.0]","TVC_(20.0, 200.0]","TVC_(200.0, 420.0]","TVC_(3.0, 20.0]",Trask(So),kurtosis_geom_um,mean_geom_um,mode_1,mode_2,mode_3,skewness_geom_um,sorting_geom_um
0,0,0,0.00169278,0.0104502,0.0289349,0.0345442,0.0519279,0.108506,0.210081,0.25658,0.25982,0.267913,0.305633,0.355,0.431119,0.486632,0.569684,0.591331,0.638643,0.687539,0.757569,0.875969,1.00368,1.00429,0.977736,0.95133,0.956756,1.02567,1.18683,1.47352,1.91504,2.38935,2.50277,1.78316,0.743562,24.843262980000006,1.02351,10.81,0.0768,1.07077,2.43,15.804,2020,10,5,8,3,1,10/5/2020,8:03:01 AM,10/05/2020 8:03:01,6.5535,106.852,24.8433,57,2388,2986,2992,0,23498,6,0,0.922986,3.20566,8:03:01 AM,51.29263667,2.63184,,DGPS,08:03:01,34592.12,15.82448,6.12,2.188,2.156,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:01,0.5532251308900454,0.5689436147126306,,-1.8610563852873696,-2.43,17.213909973636035,130.8328220783067,205.58042945119846,5.544318945318784,325.35161100168136,308.13770102804534,18.900506131377103,2.471010253072948,3.3230671765025614,0.04107788,12.700547,9.333882000000001,2.7677560999999997,0.42469377676224307,2.739529404487957,104.70159659691907,324.0,72.2,,-0.7914403978700204,3.1481862714526128
0,0,0,0.00205348,0.0120367,0.0318567,0.0369166,0.0538837,0.110846,0.212779,0.261581,0.270386,0.282994,0.327322,0.384484,0.463819,0.51451,0.582004,0.579933,0.60263,0.624399,0.659305,0.72567,0.783789,0.743616,0.695521,0.664682,0.671692,0.738643,0.893123,1.17929,1.63489,2.1383,2.26975,1.63597,0.716194,21.50486918,1.02645,10.82,0.0768,1.07218,2.46,15.802,2020,10,5,8,3,2,10/5/2020,8:03:02 AM,10/05/2020 8:03:02,6.5535,109.184,21.5049,57,2346,3023,2973,0,23503,6,0,0.924421,3.14349,8:03:02 AM,51.29260667,2.63183,,DGPS,08:03:02,34592.0,15.82232,1.824,2.528,1.98,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:02,0.5530506108202374,0.5687689557145422,,-1.8912310442854579,-2.46,14.63338147999116,131.4930257750784,219.579343475447,6.870462098955561,331.0695648051671,316.43618332517593,22.624269397873107,2.780407136226992,3.3911169185653245,0.04594688,10.144297,8.395104,2.9195213,0.38151096622837655,2.432243646911663,99.24408002564861,324.0,61.2,22.7,-0.705775802364142,3.372759351173531
0,0,0,0.00202958,0.0118554,0.0311172,0.0357828,0.0520481,0.106961,0.204929,0.250731,0.259081,0.272034,0.315524,0.371549,0.449227,0.500314,0.571716,0.57865,0.611852,0.645368,0.685693,0.751819,0.792585,0.721261,0.634838,0.563363,0.529579,0.550894,0.648568,0.867773,1.29185,1.93827,2.46923,2.11178,1.02858,20.85685208,1.03085,10.82,0.0768,1.07007,2.66,15.8,2020,10,5,8,3,3,10/5/2020,8:03:03 AM,10/05/2020 8:03:03,6.5535,102.545,20.8569,57,2371,3021,2948,0,23535,5,0,0.930223,2.89324,8:03:03 AM,51.29257667,2.63182667,,DGPS,08:03:03,34592.0,15.81864,2.016,2.784,1.99,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:03,0.5528760907504293,0.5685942982211958,,-2.0914057017788044,-2.66,14.708605785097475,137.04250082422303,243.91852500797432,7.651371640100766,353.60825857192845,338.899652786831,24.040909365468117,2.93571839891489,3.3934497515132573,0.04500218,9.153959,8.83971,2.8181808999999998,0.3615183544790199,2.321165012861776,102.29230388684273,324.0,61.2,,-0.6627877338605614,3.4830283549613474
0,0,0,0.00192486,0.0113382,0.0299847,0.034598,0.0504487,0.104154,0.200532,0.246581,0.254947,0.267926,0.311166,0.368157,0.453739,0.517362,0.608588,0.634263,0.689895,0.748443,0.839966,0.99101,1.13158,1.086,0.970809,0.836973,0.733214,0.691228,0.730339,0.876183,1.16208,1.56155,1.84088,1.54582,0.756416,21.28809546,1.03012,10.82,0.0768,1.07148,2.86,15.801,2020,10,5,8,3,4,10/5/2020,8:03:04 AM,10/05/2020 8:03:04,6.5535,89.4972,21.2881,57,2383,3006,2984,0,23565,5,0,0.928339,2.97432,8:03:04 AM,51.29254667,2.63181833,,DGPS,08:03:04,34592.2,15.81692,3.8,2.96,1.69,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:04,0.5527015706806213,0.5684196422330674,,-2.2915803577669323,-2.86,15.109485358108213,86.78410826109346,204.3454568577631,6.753002137046911,330.4275421223232,315.318056764215,21.868881321295675,2.7555290140668296,3.397242696409361,0.043247759999999996,11.568491,6.866746,2.8096107,0.3848146136981074,2.3484907765111234,88.10385339665993,324.0,61.2,,-0.491847740622683,3.261560967099894
0,0,0,0.00169704,0.0103451,0.0281841,0.0332501,0.0498507,0.104812,0.205125,0.254793,0.263813,0.278225,0.324174,0.383357,0.468736,0.527573,0.608847,0.61841,0.653685,0.68888,0.742142,0.835188,0.927967,0.904139,0.867471,0.843377,0.851981,0.912492,1.04283,1.26686,1.58017,1.86635,1.85429,1.31769,0.571723,21.88842704,1.02645,10.82,0.0768,1.07288,3.13,15.805,2020,10,5,8,3,5,10/5/2020,8:03:05 AM,10/05/2020 8:03:05,6.5535,96.5539,21.8884,57,2376,2968,2990,0,23608,5,0,0.923815,3.16973,8:03:05 AM,51.29251833,2.63180333,,DGPS,08:03:05,34592.56,15.81952,3.216,3.064,1.63,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:05,0.5525270506108133,0.5682449877502554,,-2.5617550122497446,-3.13,15.088027506230503,107.42065201373265,196.0099825988767,6.30873064416943,315.1619566804602,300.0739291742297,20.88821461588111,2.6573497551946175,3.381050304843604,0.040226239999999996,11.764269,7.190223,2.8937087999999997,0.39813376177991766,2.451600658813841,92.14413733569585,273.0,61.2,,-0.6313487543433612,3.2248676639818834
0,0,0,0.00189195,0.0112705,0.0301582,0.0351058,0.0514161,0.10587,0.202785,0.247143,0.254121,0.266837,0.311729,0.370951,0.456144,0.513906,0.593889,0.605886,0.650962,0.697171,0.777224,0.914658,1.0624,1.06733,1.0352,0.998832,0.991995,1.03926,1.15437,1.34761,1.61302,1.84388,1.78403,1.22726,0.54518,22.809485549999998,1.02571,10.82,0.0768,1.07007,3.23,15.805,2020,10,5,8,3,6,10/5/2020,8:03:06 AM,10/05/2020 8:03:06,6.5535,96.3742,22.8095,57,2347,2995,2991,0,23624,5,0,0.925582,3.09331,8:03:06 AM,51.29249167,2.63178333,,DGPS,08:03:06,34591.84,15.82836,3.176,3.244,2.478,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:06,0.5523525305410053,0.5680703347724891,,-2.661929665227511,-3.23,15.920881357305712,103.39680785747619,183.3851113598269,5.62924740426886,308.56277732293506,292.6418959656294,19.381011038144756,2.492942055750265,3.3705915084542326,0.04332065,12.936786999999999,7.01337,2.8160079,0.4214779236384783,2.5955031402909507,92.01735692775824,273.0,72.2,,-0.6550611969655339,3.1196702625465482
0,0,0,0.00138551,0.0090671,0.026455,0.032667,0.0509628,0.110061,0.220153,0.274258,0.281647,0.294797,0.342979,0.404909,0.498212,0.563745,0.658016,0.674892,0.72278,0.771256,0.845925,0.976421,1.10839,1.08163,1.01436,0.94972,0.933655,1.0142,1.25342,1.75595,2.65688,3.83797,4.3575,3.03039,1.13591,31.89056341,1.01763,10.81,0.0768,1.07007,3.46,15.807,2020,10,5,8,3,7,10/5/2020,8:03:07 AM,10/05/2020 8:03:07,6.5535,125.226,31.8906,57,2369,2953,3022,0,23659,5,0,0.918288,3.40975,8:03:07 AM,51.292465,2.631765,,DGPS,08:03:07,34591.64,15.8258,3.32,3.368,2.542,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:07,0.5521780104711973,0.5678956832991362,,-2.8921043167008635,-3.46,19.583716700599897,178.54550723845185,225.4159078599016,5.208448781945153,342.82084176110146,323.23712506050157,17.505402421931482,2.380853762557343,3.2520519388679,0.03690761,13.760615,15.01865,3.0743907999999998,0.43817318972834085,2.9684480848595123,123.182692644254,324.0,61.2,,-0.9634706614187576,3.111405313703301
0,0,0,0.00138613,0.00911806,0.0260825,0.0312951,0.0480951,0.104381,0.210062,0.262228,0.269546,0.28028,0.322725,0.376873,0.457098,0.511906,0.592959,0.605665,0.649039,0.693398,0.754673,0.856488,0.934456,0.862914,0.758121,0.660771,0.606973,0.630241,0.777078,1.14644,1.92481,3.23691,4.45346,3.81144,1.68158,28.54849189,1.02792,10.82,0.0768,1.07148,3.53,15.808,2020,10,5,8,3,8,10/5/2020,8:03:08 AM,10/05/2020 8:03:08,6.5535,138.5,28.5485,57,2344,2935,2989,0,23670,5,0,0.926353,3.06001,8:03:08 AM,51.29243833,2.63174667,,DGPS,08:03:08,34592.0,15.82796,1.832,3.564,1.506,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:08,0.5520034904013892,0.5677210333292112,,-2.9622789666707887,-3.53,18.857766530783582,209.45793756089736,251.56773143247483,5.784451981601088,365.7457873027476,346.888020771964,19.394968471250348,2.5321802850238564,3.2777771575482832,0.036586690000000005,10.529216,15.1082,2.8744892,0.4157850692814856,2.8745840319409446,131.03355801949235,324.0,61.2,,-0.9802249226280834,3.2731163805614156
0,0,0,0.00183761,0.0111035,0.0296638,0.0340161,0.0491083,0.10124,0.194208,0.236589,0.244113,0.257697,0.302582,0.361091,0.446632,0.505907,0.590625,0.609108,0.662789,0.718493,0.824526,1.01355,1.24645,1.31546,1.30739,1.25004,1.1995,1.21078,1.32848,1.58531,1.9813,2.32293,2.18535,1.40226,0.581122,26.11125131,1.02571,10.79,0.0768,1.07218,3.85,15.808,2020,10,5,8,3,9,10/5/2020,8:03:09 AM,10/05/2020 8:03:09,6.5535,109.615,26.1112,57,2344,2908,3010,0,23720,5,0,0.92376,3.17213,8:03:09 AM,51.29241333,2.63173167,,DGPS,08:03:09,34591.53333,15.82993333,2.2,3.7,0.54,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:09,0.5518289703315812,0.5675463848613832,,-3.2824536151386168,-3.85,18.2035078888283,111.77524643397908,182.82270900508433,4.93289227217937,308.4456364191069,290.2421285302786,16.94429657749666,2.3024337811313833,3.312506871377101,0.04260491,14.862501,8.472962,2.7331833999999997,0.45024529627068816,2.841948303915541,99.37918260204628,273.0,72.2,,-0.7521939305883478,2.9872191512529147
0,0,0,0.00195639,0.0114018,0.0301984,0.0351539,0.0516131,0.106717,0.205973,0.253549,0.263714,0.278181,0.324576,0.385956,0.480859,0.554706,0.661005,0.698697,0.768706,0.843159,0.955576,1.1382,1.33427,1.34165,1.28215,1.19582,1.12366,1.09438,1.12276,1.21814,1.3781,1.51876,1.45546,1.02924,0.464876,23.609163589999998,1.02351,10.82,0.0768,1.07288,4.15,15.81,2020,10,5,8,3,10,10/5/2020,8:03:10 AM,10/05/2020 8:03:10,6.5535,89.7055,23.6092,57,2339,2891,3049,0,23768,4,0,0.92117,3.28442,8:03:10 AM,51.29238833,2.631715,,DGPS,08:03:10,,,,,,,,,,,,,,0001_20201005_080301,2020-10-05 08:03:10,0.5516544502617732,0.5673717378939843,,-3.582628262106016,-4.15,15.915563289403012,82.99153753215931,156.69750618020535,5.2564042719231585,292.58127945572306,276.66571616632007,18.383344286063135,2.394076238116387,3.395723027342725,0.04355659,14.778173,5.846436,2.940998,0.43616982820258327,2.5775891513594944,82.42862926590894,273.0,72.2,,-0.5198489982690726,3.0114368607873705
