Volume conc (microl/l) 1,Volume conc (microl/l) 2,Volume conc (microl/l) 3,Volume conc (microl/l) 4,Volume conc (microl/l) 5,Volume conc (microl/l) 6,Volume conc (microl/l) 7,Volume conc (microl/l) 8,Volume conc (microl/l) 9,Volume conc (microl/l) 10,Volume conc (microl/l) 11,Volume conc (microl/l) 12,Volume conc (microl/l) 13,Volume conc (microl/l) 14,Volume conc (microl/l) 15,Volume conc (microl/l) 16,Volume conc (microl/l) 17,Volume conc (microl/l) 18,Volume conc (microl/l) 19,Volume conc (microl/l) 20,Volume conc (microl/l) 21,Volume conc (microl/l) 22,Volume conc (microl/l) 23,Volume conc (microl/l) 24,Volume conc (microl/l) 25,Volume conc (microl/l) 26,Volume conc (microl/l) 27,Volume conc (microl/l) 28,Volume conc (microl/l) 29,Volume conc (microl/l) 30,Volume conc (microl/l) 31,Volume conc (microl/l) 32,Volume conc (microl/l) 33,Volume conc (microl/l) 34,Volume conc (microl/l) 35,Volume conc (microl/l) 36,TVC_recal,Laser transmission Sensor [mW],Supply voltage in calibrated units [V],External Auxiliary input 1 in calibrated units [mW],Laser Reference sensor in calibrated units [mW],Depth in calibrated units [m],Temperature in calibrated units [C],year,Month,day,hour,minute,second,DATE,TIME,DATE  & Time (format gps),External Auxiliary input 2 in calibrated units [mW],Sauter Mean Diameter [?],Total Volume Concentration [ppm],Relative Humidity [%],Accelerometer X [counts],Accelerometer Y [counts],Accelerometer Z [counts],Raw pressure (most sign bit),Raw pressure (least sign 16 bits),Ambient light (counts),Not used,Computed optical transmission over path,Beam-attenuation (c) [m-1].,Current Time,Latitude_ship,Longitude_ship,Speed Over Ground,GPSfix,Row Labels,Average of Salinity,Average of Temperature_C,Average of Turbidity_NTU,Average of Depth_m,Average of Chlorohyll_ug_L,Time,VPR lat,VPR long,VPR depth,majoraxis,minoraxis,angle,devz,linename
0,0,0,0,0,0,0,0.0012,0.0063,0.0335,0.103,0.1871,0.2769,0.3714,0.343,0.2847,0.2102,0.1889,0.1631,0.1873,0.2139,0.2872,0.4427,0.6914,0.8746,1.0249,1.1372,1.2605,1.4837,1.926,2.6657,3.7314,4.7405,4.806,3.1793,1.2082,14.3644,1.1333,11.54,0.07,0.9939,5.18,-5,2021,5,28,11,2,56,5/28/2021,11:02:56 AM,5/28/2021 11:02:56,6.554,169.38,32.0298,46,2503,2718,3279,0,24014,89,0,0.957,1.747,11:02:56 AM,51.27532565,2.6067055,1.6,RTK       ,,,,,,,2021-05-28 11:02:56+00:00,51.275414,2.606689,-3.13,0.08,0.08,269.97,,0002_20210528_105946
0,0,0,0,0,0,0,0,0.0037,0.0237,0.0872,0.1749,0.2753,0.384,0.3573,0.3001,0.223,0.2002,0.1718,0.1964,0.2227,0.2955,0.449,0.7041,0.9113,1.1001,1.2564,1.4297,1.7242,2.3115,3.3985,5.3619,7.9974,9.2287,6.1505,2.0614,16.2006,1.1279,11.54,0.075,0.9945,5.23,-5,2021,5,28,11,2,57,5/28/2021,11:02:57 AM,5/28/2021 11:02:57,6.554,200.03,47.0004,46,2512,2737,3297,0,24022,82,0,0.952,1.964,11:02:57 AM,51.27532903,2.60671467,1.3,RTK       ,,,,,,,2021-05-28 11:02:57+00:00,,,,,,,,0002_20210528_105946
0,0,0,0,0,0,0,0.0014,0.0068,0.0327,0.0969,0.1765,0.261,0.3469,0.3226,0.2714,0.2048,0.1839,0.1582,0.1764,0.1953,0.2586,0.3957,0.6139,0.7667,0.8782,0.9631,1.0682,1.2833,1.7704,2.7609,4.5641,6.786,7.4606,4.6701,1.6091,13.1938,1.1333,11.55,0.075,0.9939,5.33,-5,2021,5,28,11,2,58,5/28/2021,11:02:58 AM,5/28/2021 11:02:58,6.554,195.05,38.2839,46,2512,2735,3313,0,24037,83,0,0.957,1.747,11:02:58 AM,51.27533185,2.60672267,1.2,RTK       ,,,,,,,2021-05-28 11:02:58+00:00,,,,,,,,0002_20210528_105946
0,0,0,0,0,0,0,0,0.0046,0.0276,0.0934,0.1769,0.2668,0.3633,0.3384,0.2852,0.212,0.1895,0.161,0.1809,0.202,0.266,0.4071,0.6629,0.9078,1.1712,1.4043,1.5873,1.7787,2.1176,2.7242,3.7034,4.7604,4.9454,3.2754,1.1947,15.5287,1.1327,11.55,0.075,0.9939,5.33,-5,2021,5,28,11,2,59,5/28/2021,11:02:59 AM,5/28/2021 11:02:59,6.554,169.36,33.408,46,2512,2726,3317,0,24038,89,0,0.957,1.771,11:02:59 AM,51.27533512,2.60673083,1.4,RTK       ,,,,,,,2021-05-28 11:02:59+00:00,,,,,,,,0002_20210528_105946
0,0,0,0,0,0,0,0,0.0052,0.0296,0.0983,0.1838,0.278,0.3795,0.3535,0.2954,0.2173,0.1938,0.166,0.1919,0.2204,0.3054,0.4938,0.8332,1.1489,1.4636,1.7222,1.9049,2.0661,2.3338,2.8282,3.5923,4.2754,4.0869,2.5889,1.0192,17.7128,1.1313,11.55,0.075,0.9933,5.25,-5,2021,5,28,11,3,0,5/28/2021,11:03:00 AM,5/28/2021 11:03:00,6.554,155.46,33.2755,46,2501,2716,3294,0,24025,98,0,0.956,1.796,11:03:00 AM,51.27533982,2.6067395,1.7,RTK       ,,,,,,,2021-05-28 11:03:00+00:00,51.27542867,2.606727667,-4.08,0.07,0.07,269.93,,0002_20210528_105946
0,0,0,0,0,0,0,0,0.003,0.0213,0.0829,0.1688,0.2661,0.3712,0.3423,0.2865,0.2103,0.1882,0.1591,0.181,0.2044,0.2778,0.4437,0.758,1.0699,1.4197,1.7544,2.0389,2.3118,2.7182,3.3711,4.2818,4.9225,4.2865,2.2769,0.7094,18.6486,1.1299,11.55,0.075,0.9933,5.2,-5,2021,5,28,11,3,1,5/28/2021,11:03:01 AM,5/28/2021 11:03:01,6.554,159.02,35.1259,46,2505,2727,3290,0,24017,87,0,0.955,1.844,11:03:01 AM,51.2753455,2.606747,1.5,RTK       ,,,,,,,2021-05-28 11:03:01+00:00,51.275407,2.6067605,-3.86,0.07,0.07,269.96,,0002_20210528_105946
0,0,0,0,0,0,0,0,0.0048,0.0281,0.0949,0.18,0.2754,0.3784,0.3513,0.2903,0.2105,0.1843,0.1544,0.1728,0.1919,0.2515,0.3815,0.614,0.8375,1.0902,1.3608,1.6822,2.1296,2.7986,3.6738,4.5992,4.9806,4.2892,2.5031,0.8945,17.3368,1.132,11.56,0.075,0.9933,5.29,-5,2021,5,28,11,3,2,5/28/2021,11:03:02 AM,5/28/2021 11:03:02,6.554,165.65,34.6033,46,2503,2725,3294,0,24031,88,0,0.957,1.772,11:03:02 AM,51.275351,2.606752,1.2,RTK       ,,,,,,,2021-05-28 11:03:02+00:00,,,,,,,,0002_20210528_105946
0,0,0,0,0,0,0,0.0014,0.0071,0.0356,0.1011,0.1774,0.2576,0.347,0.3299,0.2808,0.2087,0.1856,0.1561,0.1757,0.1963,0.2675,0.4303,0.7152,0.9468,1.123,1.22,1.2899,1.4266,1.7644,2.4558,3.748,5.5239,6.5848,4.9619,2.1348,14.0998,1.134,11.55,0.075,0.9945,5.36,-5,2021,5,28,11,3,3,5/28/2021,11:03:03 AM,5/28/2021 11:03:03,6.554,188.25,37.053,46,2506,2720,3316,0,24043,83,0,0.957,1.747,11:03:03 AM,51.27535612,2.60675667,1.3,RTK       ,,,,,,,2021-05-28 11:03:03+00:00,,,,,,,,0002_20210528_105946
0,0,0,0,0,0,0,0,0.0046,0.0284,0.0986,0.1854,0.2781,0.3762,0.3465,0.2917,0.2175,0.1986,0.1738,0.2047,0.2393,0.3322,0.5342,0.8897,1.2037,1.5275,1.8658,2.2652,2.7643,3.3555,3.9147,4.2262,3.9781,3.0264,1.6625,0.5671,21.2962,1.1313,11.56,0.075,0.9939,5.36,-5,2021,5,28,11,3,4,5/28/2021,11:03:04 AM,5/28/2021 11:03:04,6.554,146.11,34.7567,46,2513,2715,3312,0,24043,88,0,0.956,1.819,11:03:04 AM,51.27536147,2.60676367,1.6,RTK       ,,,,,,,2021-05-28 11:03:04+00:00,,,,,,,,0002_20210528_105946
0,0,0,0,0,0,0,0.0012,0.0061,0.0308,0.0942,0.1748,0.2615,0.35,0.3243,0.273,0.2074,0.1904,0.1693,0.1958,0.2249,0.2969,0.4374,0.6546,0.8198,1.0004,1.2343,1.5694,2.0206,2.5703,3.1337,3.5135,3.3105,2.4166,1.256,0.4375,16.2411,1.1361,11.55,0.075,0.9939,5.26,-5,2021,5,28,11,3,5,5/28/2021,11:03:05 AM,5/28/2021 11:03:05,6.554,143.71,27.1753,46,2496,2718,3283,0,24027,81,0,0.96,1.651,11:03:05 AM,51.27536622,2.6067735,1.6,RTK       ,,,,,,,2021-05-28 11:03:05+00:00,51.27543983,2.606788667,-3.93,0.06,0.06,269.94,,0002_20210528_105946
