Volume conc (microl/l) 1,Volume conc (microl/l) 2,Volume conc (microl/l) 3,Volume conc (microl/l) 4,Volume conc (microl/l) 5,Volume conc (microl/l) 6,Volume conc (microl/l) 7,Volume conc (microl/l) 8,Volume conc (microl/l) 9,Volume conc (microl/l) 10,Volume conc (microl/l) 11,Volume conc (microl/l) 12,Volume conc (microl/l) 13,Volume conc (microl/l) 14,Volume conc (microl/l) 15,Volume conc (microl/l) 16,Volume conc (microl/l) 17,Volume conc (microl/l) 18,Volume conc (microl/l) 19,Volume conc (microl/l) 20,Volume conc (microl/l) 21,Volume conc (microl/l) 22,Volume conc (microl/l) 23,Volume conc (microl/l) 24,Volume conc (microl/l) 25,Volume conc (microl/l) 26,Volume conc (microl/l) 27,Volume conc (microl/l) 28,Volume conc (microl/l) 29,Volume conc (microl/l) 30,Volume conc (microl/l) 31,Volume conc (microl/l) 32,Volume conc (microl/l) 33,Volume conc (microl/l) 34,Volume conc (microl/l) 35,Volume conc (microl/l) 36,TVC_recal,Laser transmission Sensor [mW],Supply voltage in calibrated units [V],External Auxiliary input 1 in calibrated units [mW],Laser Reference sensor in calibrated units [mW],Depth in calibrated units [m],Temperature in calibrated units [C],year,Month,day,hour,minute,second,DATE,TIME,DATE  & Time (format gps),External Auxiliary input 2 in calibrated units [mW],Sauter Mean Diameter [?],Total Volume Concentration [ppm],Relative Humidity [%],Accelerometer X [counts],Accelerometer Y [counts],Accelerometer Z [counts],Raw pressure (most sign bit),Raw pressure (least sign 16 bits),Ambient light (counts),Not used,Computed optical transmission over path,Beam-attenuation (c) [m-1].,Current Time,Latitude_ship,Longitude_ship,Speed Over Ground,GPSfix,Row Labels,Average of Salinity,Average of Temperature_C,Average of Turbidity_NTU,Average of Depth_m,Average of Chlorohyll_ug_L,Time,VPR lat,VPR long,VPR depth,majoraxis,minoraxis,angle,devz,linename
0,0,0.0039,0.0276,0.0878,0.0717,0.0229,0.0105,0.0152,0.0236,0.0319,0.0447,0.056,0.0614,0.0508,0.0339,0.0205,0.0163,0.0152,0.0224,0.0327,0.0869,0.3369,1.3728,3.3847,4.6341,4.1013,3.3014,3.1393,3.5704,4.3172,4.8755,4.4092,2.6291,0.7909,0.1511,28.894,1.0083,11.15,0.07,0.9998,0.14,-5,2021,7,9,9,48,10,7/9/2021,9:48:10 AM,7/09/2021 9:48:10,6.554,142.06,41.7498,47,2366,2715,3209,0,23236,5348,0,0.852,6.4,9:48:10 AM,51.27717687,2.6139415,0.2,RTK       ,,,,,,,,,,,,,,,
0,0,0,0,0.0221,0.0718,0.0172,0.0062,0.0186,0.0527,0.0611,0.0641,0.0633,0.0645,0.0484,0.0286,0.0139,0.0103,0.0079,0.0115,0.0166,0.0488,0.2407,1.2556,3.2503,4.5261,3.9894,3.2164,3.1336,3.676,4.4313,4.5749,3.2823,1.258,0.1818,0.0118,28.347,1.009,11.15,0.075,0.9998,0.13,-5,2021,7,9,9,48,11,7/9/2021,9:48:11 AM,7/09/2021 9:48:11,6.554,134.69,37.6556,47,2369,2712,3199,0,23234,5373,0,0.853,6.373,9:48:11 AM,51.27717705,2.613943,0.3,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0016,0.037,0.0745,0.0197,0.0079,0.0191,0.0449,0.0547,0.0628,0.0644,0.064,0.0479,0.029,0.0151,0.0114,0.0092,0.0136,0.0196,0.0565,0.2625,1.2829,3.3032,4.5824,4.0352,3.257,3.1788,3.7338,4.5208,4.7761,3.6412,1.5875,0.2898,0.0271,28.8095,1.0056,11.14,0.075,1.0004,0.12,-5,2021,7,9,9,48,12,7/9/2021,9:48:12 AM,7/09/2021 9:48:12,6.554,136.89,39.1313,47,2366,2710,3208,0,23233,5279,0,0.849,6.532,9:48:12 AM,51.27717678,2.61394517,0.4,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0094,0.0685,0.0769,0.0206,0.0083,0.015,0.0284,0.0385,0.0517,0.061,0.064,0.0486,0.0293,0.0159,0.0122,0.0109,0.0166,0.0249,0.0709,0.306,1.3668,3.4128,4.6326,4.0477,3.2457,3.1085,3.5843,4.3903,4.9037,4.1806,2.1906,0.5346,0.0758,28.7663,1.0083,11.15,0.075,0.9998,0.14,-5,2021,7,9,9,48,13,7/9/2021,9:48:13 AM,7/09/2021 9:48:13,6.554,140.03,40.6517,47,2364,2715,3221,0,23235,5450,0,0.852,6.4,9:48:13 AM,51.27717578,2.61394733,0.4,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0015,0.0354,0.0763,0.0205,0.0081,0.0195,0.0454,0.0536,0.0593,0.0606,0.0606,0.0458,0.0281,0.0147,0.0112,0.0092,0.0136,0.0198,0.0578,0.2723,1.3339,3.3742,4.5789,3.9742,3.1863,3.0891,3.6159,4.4008,4.7265,3.6962,1.6544,0.308,0.0289,28.4666,1.009,11.14,0.075,0.9998,0.14,-5,2021,7,9,9,48,14,7/9/2021,9:48:14 AM,7/09/2021 9:48:14,6.554,136.85,38.8805,47,2367,2716,3204,0,23236,5572,0,0.853,6.373,9:48:14 AM,51.27717517,2.61394933,0.2,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0033,0.0496,0.077,0.0189,0.0072,0.0155,0.0343,0.0438,0.0556,0.0631,0.066,0.05,0.0296,0.0152,0.0113,0.0095,0.0141,0.0208,0.0601,0.2759,1.329,3.3988,4.6207,3.9795,3.1605,3.0552,3.5993,4.4577,4.9072,3.9617,1.8464,0.3656,0.0381,28.5215,1.0117,11.15,0.075,1.0004,0.14,-5,2021,7,9,9,48,15,7/9/2021,9:48:15 AM,7/09/2021 9:48:15,6.554,138.53,39.6405,47,2371,2713,3199,0,23236,5602,0,0.855,6.288,9:48:15 AM,51.27717515,2.61395083,0.2,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0042,0.0529,0.0752,0.0184,0.0072,0.0155,0.0342,0.044,0.0562,0.0633,0.0662,0.0505,0.0303,0.0158,0.0117,0.0096,0.014,0.02,0.057,0.263,1.2978,3.4238,4.7458,4.0917,3.2013,3.0341,3.5263,4.3402,4.784,3.9325,1.9248,0.4149,0.0479,28.5702,1.0097,11.14,0.075,1.0009,0.14,-5,2021,7,9,9,48,16,7/9/2021,9:48:16 AM,7/09/2021 9:48:16,6.554,138.17,39.6744,47,2369,2713,3209,0,23236,5611,0,0.852,6.392,9:48:16 AM,51.2771747,2.61395217,0.3,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.003,0.0463,0.0758,0.0201,0.0082,0.0179,0.0388,0.0492,0.0584,0.0628,0.064,0.0483,0.0289,0.015,0.0112,0.0093,0.0139,0.0205,0.0599,0.2786,1.3389,3.3945,4.5988,3.9753,3.1703,3.077,3.6246,4.4646,4.8935,3.976,1.891,0.3844,0.0409,28.5741,1.009,11.14,0.075,0.9998,0.12,-5,2021,7,9,9,48,17,7/9/2021,9:48:17 AM,7/09/2021 9:48:17,6.554,138.7,39.7601,47,2365,2713,3212,0,23233,5620,0,0.853,6.373,9:48:17 AM,51.27717425,2.61395467,0.4,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0038,0.0497,0.0738,0.0195,0.0082,0.0175,0.0379,0.0482,0.0588,0.0632,0.063,0.0466,0.0276,0.0146,0.0112,0.0097,0.0146,0.0216,0.062,0.282,1.3402,3.3955,4.6161,4.0304,3.2457,3.142,3.6555,4.4296,4.7816,3.8619,1.8631,0.3933,0.0442,28.7885,1.0083,11.14,0.075,0.9998,0.12,-5,2021,7,9,9,48,18,7/9/2021,9:48:18 AM,7/09/2021 9:48:18,6.554,138.04,39.7327,47,2364,2715,3211,0,23233,5626,0,0.852,6.4,9:48:18 AM,51.27717387,2.61395717,0.2,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0036,0.0502,0.076,0.0194,0.0077,0.0168,0.0368,0.0463,0.0569,0.0621,0.0632,0.048,0.0288,0.015,0.0112,0.0094,0.0139,0.0204,0.0586,0.2705,1.3121,3.3823,4.6566,4.068,3.2498,3.1205,3.6157,4.3713,4.6858,3.7618,1.8026,0.3777,0.042,28.6911,1.0104,11.13,0.075,0.9998,0.14,-5,2021,7,9,9,48,19,7/9/2021,9:48:19 AM,7/09/2021 9:48:19,6.554,137.37,39.3606,47,2368,2716,3210,0,23235,5638,0,0.854,6.319,9:48:19 AM,51.27717345,2.6139585,0.4,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0032,0.046,0.0764,0.0212,0.0088,0.0185,0.0386,0.0463,0.0537,0.0573,0.0585,0.0453,0.0284,0.0157,0.0123,0.0106,0.0155,0.0226,0.0637,0.2863,1.3453,3.3704,4.5846,4.0315,3.2606,3.1524,3.6615,4.4195,4.7016,3.6793,1.6916,0.3393,0.0367,28.7547,1.0117,11.13,0.075,1.0004,0.14,-5,2021,7,9,9,48,20,7/9/2021,9:48:20 AM,7/09/2021 9:48:20,6.554,136.91,39.2034,47,2369,2714,3209,0,23235,5649,0,0.855,6.288,9:48:20 AM,51.27717302,2.61396167,0.5,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0036,0.0521,0.0742,0.0169,0.0065,0.0147,0.0342,0.0459,0.0596,0.0661,0.0667,0.0485,0.0279,0.0143,0.0107,0.0089,0.0134,0.0199,0.059,0.2814,1.3788,3.4856,4.6561,3.9797,3.1656,3.0765,3.6215,4.446,4.8431,3.8797,1.7966,0.3539,0.037,28.7343,1.0042,11.14,0.075,0.9992,0.12,-5,2021,7,9,9,48,21,7/9/2021,9:48:21 AM,7/09/2021 9:48:21,6.554,137.61,39.6449,47,2364,2713,3200,0,23233,5660,0,0.849,6.539,9:48:21 AM,51.2771727,2.61396383,0.1,RTK       ,,,,,,,,,,,,,,,
