Volume conc (microl/l) 1,Volume conc (microl/l) 2,Volume conc (microl/l) 3,Volume conc (microl/l) 4,Volume conc (microl/l) 5,Volume conc (microl/l) 6,Volume conc (microl/l) 7,Volume conc (microl/l) 8,Volume conc (microl/l) 9,Volume conc (microl/l) 10,Volume conc (microl/l) 11,Volume conc (microl/l) 12,Volume conc (microl/l) 13,Volume conc (microl/l) 14,Volume conc (microl/l) 15,Volume conc (microl/l) 16,Volume conc (microl/l) 17,Volume conc (microl/l) 18,Volume conc (microl/l) 19,Volume conc (microl/l) 20,Volume conc (microl/l) 21,Volume conc (microl/l) 22,Volume conc (microl/l) 23,Volume conc (microl/l) 24,Volume conc (microl/l) 25,Volume conc (microl/l) 26,Volume conc (microl/l) 27,Volume conc (microl/l) 28,Volume conc (microl/l) 29,Volume conc (microl/l) 30,Volume conc (microl/l) 31,Volume conc (microl/l) 32,Volume conc (microl/l) 33,Volume conc (microl/l) 34,Volume conc (microl/l) 35,Volume conc (microl/l) 36,TVC_recal,Laser transmission Sensor [mW],Supply voltage in calibrated units [V],External Auxiliary input 1 in calibrated units [mW],Laser Reference sensor in calibrated units [mW],Depth in calibrated units [m],Temperature in calibrated units [C],year,Month,day,hour,minute,second,DATE,TIME,DATE  & Time (format gps),External Auxiliary input 2 in calibrated units [mW],Sauter Mean Diameter [?],Total Volume Concentration [ppm],Relative Humidity [%],Accelerometer X [counts],Accelerometer Y [counts],Accelerometer Z [counts],Raw pressure (most sign bit),Raw pressure (least sign 16 bits),Ambient light (counts),Not used,Computed optical transmission over path,Beam-attenuation (c) [m-1].,Current Time,Latitude_ship,Longitude_ship,Speed Over Ground,GPSfix,Row Labels,Average of Salinity,Average of Temperature_C,Average of Turbidity_NTU,Average of Depth_m,Average of Chlorohyll_ug_L,Time,VPR lat,VPR long,VPR depth,majoraxis,minoraxis,angle,devz,linename,datetime,waterniveau LAT,waterniveau LAT smooth,Sonarscope LAT correction,Lisst_depth_m_LAT,inverted Depth in calibrated units [m],D10,D50,D75-D25,D75/D25,D90,D90-D10,D90/D10,Krumbein(Qd),PSD_slope,"TVC_(0.0, 3.0]","TVC_(20.0, 200.0]","TVC_(200.0, 420.0]","TVC_(3.0, 20.0]",Trask(So),kurtosis_geom_um,mean_geom_um,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,skewness_geom_um,sorting_geom_um
0.0,0.0,0.0039,0.0276,0.0878,0.0717,0.0229,0.0105,0.0152,0.0236,0.0319,0.0447,0.056,0.0614,0.0508,0.0339,0.0205,0.0163,0.0152,0.0224,0.0327,0.0869,0.3369,1.3728,3.3847,4.6341,4.1013,3.3014,3.1393,3.5704,4.3172,4.8755,4.4092,2.6291,0.7909,0.1511,41.7498,1.0083,11.15,0.07,0.9998,0.14,-5.0,2021.0,7.0,9.0,9.0,48.0,10.0,7/9/2021,9:48:10 AM,7/09/2021 9:48:10,6.554,142.06,41.7498,47.0,2366.0,2715.0,3209.0,0.0,23236.0,5348.0,0.0,0.852,6.4,9:48:10 AM,51.27717687,2.6139415,0.2,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:10,3.2309999999999963,3.265942927216539,,3.125942927216539,-0.14,66.59316795644253,139.05016646499396,126.52111593284432,2.486420113999283,266.666292799426,200.07312484298347,4.004409175635674,1.3140700796472107,2.8723890511606975,0.191,28.3316,12.8558,0.3714,0.6341802966602496,10.96982190619066,142.36112563133904,230.0,85.2,2.63,11.7,,,-1.734639765123624,1.8953424698272434
0.0,0.0,0.0,0.0,0.0221,0.0718,0.0172,0.0062,0.0186,0.0527,0.0611,0.0641,0.0633,0.0645,0.0484,0.0286,0.0139,0.0103,0.0079,0.0115,0.0166,0.0488,0.2407,1.2556,3.2503,4.5261,3.9894,3.2164,3.1336,3.676,4.4313,4.5749,3.2823,1.258,0.1818,0.0118,37.65580000000001,1.009,11.15,0.075,0.9998,0.13,-5.0,2021.0,7.0,9.0,9.0,48.0,11.0,7/9/2021,9:48:11 AM,7/09/2021 9:48:11,6.554,134.69,37.6556,47.0,2369.0,2712.0,3199.0,0.0,23234.0,5373.0,0.0,0.853,6.373,9:48:11 AM,51.27717705,2.613943,0.3,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:11,3.210999999999993,3.2662868811579635,,3.1362868811579636,-0.13,66.52875398830253,130.1154032456222,110.53087963616687,2.320596891371629,241.9285076033066,175.39975361500407,3.636450303065106,1.2144959352944067,2.9867565101631945,0.09390000000000001,27.814500000000002,9.3088,0.4386,0.6564477240436132,10.72797424305361,134.87008395224473,230.0,85.2,3.11,11.7,8.39,,-1.727635178082735,1.811596566090647
0.0,0.0,0.0,0.0016,0.037,0.0745,0.0197,0.0079,0.0191,0.0449,0.0547,0.0628,0.0644,0.064,0.0479,0.029,0.0151,0.0114,0.0092,0.0136,0.0196,0.0565,0.2625,1.2829,3.3032,4.5824,4.0352,3.257,3.1788,3.7338,4.5208,4.7761,3.6412,1.5875,0.2898,0.0271,39.13119999999999,1.0056,11.14,0.075,1.0004,0.12,-5.0,2021.0,7.0,9.0,9.0,48.0,12.0,7/9/2021,9:48:12 AM,7/09/2021 9:48:12,6.554,136.89,39.1313,47.0,2366.0,2710.0,3208.0,0.0,23233.0,5279.0,0.0,0.849,6.532,9:48:12 AM,51.27717678,2.61394517,0.4,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:12,3.2909999999999915,3.2666158878586486,,3.1466158878586485,-0.12,66.68347428963807,133.0950580459312,114.38802449196578,2.3572677261218353,248.37027611836203,181.68680182872396,3.724615112877468,1.2371156216400503,2.935895961145142,0.11309999999999999,28.2669,10.3217,0.4295,0.6513216957157064,10.773026260791426,137.0931334021594,230.0,85.2,3.11,9.9,,,-1.7276942736456067,1.828530387828542
0.0,0.0,0.0,0.0094,0.0685,0.0769,0.0206,0.0083,0.015,0.0284,0.0385,0.0517,0.061,0.064,0.0486,0.0293,0.0159,0.0122,0.0109,0.0166,0.0249,0.0709,0.306,1.3668,3.4128,4.6326,4.0477,3.2457,3.1085,3.5843,4.3903,4.9037,4.1806,2.1906,0.5346,0.0758,40.6516,1.0083,11.15,0.075,0.9998,0.14,-5.0,2021.0,7.0,9.0,9.0,48.0,13.0,7/9/2021,9:48:13 AM,7/09/2021 9:48:13,6.554,140.03,40.6517,47.0,2364.0,2715.0,3221.0,0.0,23235.0,5450.0,0.0,0.852,6.4,9:48:13 AM,51.27717578,2.61394733,0.4,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:13,3.3109999999999946,3.2669399564047077,,3.1269399564047076,-0.14,66.51909960920185,136.6310447622798,122.12909622751512,2.4451111576715707,259.21164708874755,192.6925474795457,3.896800296630741,1.2899000533068539,2.906958914570198,0.1548,28.2302,11.885299999999999,0.38130000000000003,0.6395149423391403,10.712573402947264,140.27893368652101,230.0,85.2,3.11,11.7,,,-1.6925447905848192,1.8616470194193024
0.0,0.0,0.0,0.0015,0.0354,0.0763,0.0205,0.0081,0.0195,0.0454,0.0536,0.0593,0.0606,0.0606,0.0458,0.0281,0.0147,0.0112,0.0092,0.0136,0.0198,0.0578,0.2723,1.3339,3.3742,4.5789,3.9742,3.1863,3.0891,3.6159,4.4008,4.7265,3.6962,1.6544,0.308,0.0289,38.8806,1.009,11.14,0.075,0.9998,0.14,-5.0,2021.0,7.0,9.0,9.0,48.0,14.0,7/9/2021,9:48:14 AM,7/09/2021 9:48:14,6.554,136.85,38.8805,47.0,2367.0,2716.0,3204.0,0.0,23236.0,5572.0,0.0,0.853,6.373,9:48:14 AM,51.27717517,2.61394933,0.2,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:14,3.2209999999999983,3.267260946389516,,3.127260946389516,-0.14,66.32244959966525,132.75786646142814,116.0496876420602,2.3859391702923305,250.01456893528263,183.69211933561738,3.7696823691588217,1.2545572618779475,2.930398976240467,0.11320000000000001,27.9372,10.414,0.4162,0.647396454218776,10.555157850059778,137.05747938895553,230.0,85.2,3.11,,,,-1.6872099930795124,1.8340773231455014
0.0,0.0,0.0,0.0033,0.0496,0.077,0.0189,0.0072,0.0155,0.0343,0.0438,0.0556,0.0631,0.066,0.05,0.0296,0.0152,0.0113,0.0095,0.0141,0.0208,0.0601,0.2759,1.329,3.3988,4.6207,3.9795,3.1605,3.0552,3.5993,4.4577,4.9072,3.9617,1.8464,0.3656,0.0381,39.6405,1.0117,11.15,0.075,1.0004,0.14,-5.0,2021.0,7.0,9.0,9.0,48.0,15.0,7/9/2021,9:48:15 AM,7/09/2021 9:48:15,6.554,138.53,39.6405,47.0,2371.0,2713.0,3199.0,0.0,23236.0,5602.0,0.0,0.855,6.288,9:48:15 AM,51.27717515,2.61395083,0.2,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:15,3.170999999999994,3.2675660358204697,,3.1275660358204695,-0.14,66.52087535138213,135.2834297475935,118.9829512665803,2.4146019092283293,253.48946793930259,186.96859258792045,3.810675469922777,1.27178535431019,2.9434878001315337,0.1299,27.9924,11.119,0.3992,0.643542495335617,10.588864349571626,138.74958457966906,230.0,85.2,3.11,11.7,,,-1.685552459132714,1.8411153341586606
0.0,0.0,0.0,0.0042,0.0529,0.0752,0.0184,0.0072,0.0155,0.0342,0.044,0.0562,0.0633,0.0662,0.0505,0.0303,0.0158,0.0117,0.0096,0.014,0.02,0.057,0.263,1.2978,3.4238,4.7458,4.0917,3.2013,3.0341,3.5263,4.3402,4.784,3.9325,1.9248,0.4149,0.0479,39.674299999999995,1.0097,11.14,0.075,1.0009,0.14,-5.0,2021.0,7.0,9.0,9.0,48.0,16.0,7/9/2021,9:48:16 AM,7/09/2021 9:48:16,6.554,138.17,39.6744,47.0,2369.0,2713.0,3209.0,0.0,23236.0,5611.0,0.0,0.852,6.392,9:48:16 AM,51.2771747,2.61395217,0.3,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:16,3.2409999999999943,3.2678481788338396,,3.1278481788338395,-0.14,66.62877423227445,133.6502649496006,119.29312647290418,2.4227062692491828,254.83521605590278,188.20644182362832,3.824702149967853,1.276619501947637,2.93379180229308,0.1323,28.0363,11.1041,0.40159999999999996,0.6424652147075415,10.533012720322928,138.40620652080892,230.0,85.2,3.11,11.7,,,-1.6625063296980038,1.8454747865538765
0.0,0.0,0.0,0.003,0.0463,0.0758,0.0201,0.0082,0.0179,0.0388,0.0492,0.0584,0.0628,0.064,0.0483,0.0289,0.015,0.0112,0.0093,0.0139,0.0205,0.0599,0.2786,1.3389,3.3945,4.5988,3.9753,3.1703,3.077,3.6246,4.4646,4.8935,3.976,1.891,0.3844,0.0409,39.7599,1.009,11.14,0.075,0.9998,0.12,-5.0,2021.0,7.0,9.0,9.0,48.0,17.0,7/9/2021,9:48:17 AM,7/09/2021 9:48:17,6.554,138.7,39.7601,47.0,2365.0,2713.0,3212.0,0.0,23233.0,5620.0,0.0,0.853,6.373,9:48:17 AM,51.27717425,2.61395467,0.4,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:17,3.3199999999999936,3.2681181207450933,,3.1481181207450932,-0.12,66.50438599829309,135.59745105844516,119.15291913260366,2.4148312847825775,254.15083596141127,187.6464499631182,3.8215650313339387,1.2719223968829185,2.9493336508069667,0.12510000000000002,28.037399999999998,11.1858,0.41159999999999997,0.6435119307941225,10.528845703866665,138.92683752616605,230.0,85.2,3.11,11.7,,,-1.6855928190261658,1.8442250349909604
0.0,0.0,0.0,0.0038,0.0497,0.0738,0.0195,0.0082,0.0175,0.0379,0.0482,0.0588,0.0632,0.063,0.0466,0.0276,0.0146,0.0112,0.0097,0.0146,0.0216,0.062,0.282,1.3402,3.3955,4.6161,4.0304,3.2457,3.142,3.6555,4.4296,4.7816,3.8619,1.8631,0.3933,0.0442,39.7326,1.0083,11.14,0.075,0.9998,0.12,-5.0,2021.0,7.0,9.0,9.0,48.0,18.0,7/9/2021,9:48:18 AM,7/09/2021 9:48:18,6.554,138.04,39.7327,47.0,2364.0,2715.0,3211.0,0.0,23233.0,5626.0,0.0,0.852,6.4,9:48:18 AM,51.27717387,2.61395717,0.2,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:18,3.2899999999999996,3.2683881429571358,,3.1483881429571356,-0.12,66.47870883244507,134.06753921878092,117.79538138646552,2.4001478911989915,253.4682461622775,186.98953732983244,3.8127733016164087,1.2631233038862204,2.9447089329834952,0.1273,28.2561,10.9441,0.4051,0.64547733708733,10.622068706014305,138.26212903762053,230.0,85.2,3.11,9.9,,,-1.6850313411043052,1.8417478497412687
0.0,0.0,0.0,0.0036,0.0502,0.076,0.0194,0.0077,0.0168,0.0368,0.0463,0.0569,0.0621,0.0632,0.048,0.0288,0.015,0.0112,0.0094,0.0139,0.0204,0.0586,0.2705,1.3121,3.3823,4.6566,4.068,3.2498,3.1205,3.6157,4.3713,4.6858,3.7618,1.8026,0.3777,0.042,39.361,1.0104,11.13,0.075,0.9998,0.14,-5.0,2021.0,7.0,9.0,9.0,48.0,19.0,7/9/2021,9:48:19 AM,7/09/2021 9:48:19,6.554,137.37,39.3606,47.0,2368.0,2716.0,3210.0,0.0,23235.0,5638.0,0.0,0.854,6.319,9:48:19 AM,51.27717345,2.6139585,0.4,RTK       ,,,,,,,,,,,,,,,,2021-07-09 09:48:19,3.3099999999999956,3.2686605570546776,,3.1286605570546775,-0.14,66.53151335402896,132.73202626312604,116.86302711023374,2.392542438870822,252.49434306148584,185.96282970745688,3.7951089691573276,1.258544515434585,2.9478775678912537,0.1298,28.1603,10.6699,0.401,0.646502449935071,10.718766035599506,137.59096880252275,230.0,85.2,3.11,11.7,,,-1.6906849441202607,1.8398635762357944
