Volume conc (microl/l) 1,Volume conc (microl/l) 2,Volume conc (microl/l) 3,Volume conc (microl/l) 4,Volume conc (microl/l) 5,Volume conc (microl/l) 6,Volume conc (microl/l) 7,Volume conc (microl/l) 8,Volume conc (microl/l) 9,Volume conc (microl/l) 10,Volume conc (microl/l) 11,Volume conc (microl/l) 12,Volume conc (microl/l) 13,Volume conc (microl/l) 14,Volume conc (microl/l) 15,Volume conc (microl/l) 16,Volume conc (microl/l) 17,Volume conc (microl/l) 18,Volume conc (microl/l) 19,Volume conc (microl/l) 20,Volume conc (microl/l) 21,Volume conc (microl/l) 22,Volume conc (microl/l) 23,Volume conc (microl/l) 24,Volume conc (microl/l) 25,Volume conc (microl/l) 26,Volume conc (microl/l) 27,Volume conc (microl/l) 28,Volume conc (microl/l) 29,Volume conc (microl/l) 30,Volume conc (microl/l) 31,Volume conc (microl/l) 32,Volume conc (microl/l) 33,Volume conc (microl/l) 34,Volume conc (microl/l) 35,Volume conc (microl/l) 36,TVC_recal,Laser transmission Sensor [mW],Supply voltage in calibrated units [V],External Auxiliary input 1 in calibrated units [mW],Laser Reference sensor in calibrated units [mW],Depth in calibrated units [m],Temperature in calibrated units [C],year,Month,day,hour,minute,second,DATE,TIME,DATE  & Time (format gps),External Auxiliary input 2 in calibrated units [mW],Sauter Mean Diameter [?],Total Volume Concentration [ppm],Relative Humidity [%],Accelerometer X [counts],Accelerometer Y [counts],Accelerometer Z [counts],Raw pressure (most sign bit),Raw pressure (least sign 16 bits),Ambient light (counts),Not used,Computed optical transmission over path,Beam-attenuation (c) [m-1].,Current Time,Latitude_ship,Longitude_ship,Speed Over Ground,GPSfix,Row Labels,Average of Salinity,Average of Temperature_C,Average of Turbidity_NTU,Average of Depth_m,Average of Chlorohyll_ug_L,Time,VPR lat,VPR long,VPR depth,majoraxis,minoraxis,angle,devz,linename
0,0,0,0,0,0,0.0016,0.1591,0.7038,0.2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0.1531,0.8876,2.4851,3.6336,4.1377,5.4446,8.532,12.1136,10.6289,3.2904,0.1797,0.0016,26.39,1.0234,10.93,0.069,0.9974,0.08,-5,2021,7,9,12,21,46,7/9/2021,12:21:46 PM,7/09/2021 12:21:46,6.554,183,52.6042,47,2373,2713,3209,0,23226,29199,0,0.867,5.714,12:21:46 PM,51.17138722,2.62908467,1,RTK       ,,,,,,,2021-07-09 12:21:46+00:00,,,,,,,,
0,0,0,0,0,0.0367,0.2182,0.5354,0.3892,0.0402,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0224,0.2016,1.0453,2.7074,3.7546,4.0627,5.0352,7.5925,11.6026,13.7233,8.106,1.3563,0.0652,25.6426,1.0247,10.92,0.075,0.9957,0.08,-5,2021,7,9,12,21,47,7/9/2021,12:21:47 PM,7/09/2021 12:21:47,6.554,194.69,60.4961,47,2371,2719,3216,0,23227,30090,0,0.87,5.59,12:21:47 PM,51.17138922,2.62909067,0.9,RTK       ,,,,,,,2021-07-09 12:21:47+00:00,,,,,,,,
0,0,0,0,0,0,0.0069,0.239,0.7311,0.1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118,0.1333,0.8277,2.4493,3.6976,4.2301,5.4931,8.468,11.9931,10.7819,3.5667,0.2206,0.0024,26.4726,1.0261,10.92,0.075,0.9963,0.06,-5,2021,7,9,12,21,48,7/9/2021,12:21:48 PM,7/09/2021 12:21:48,6.554,183.02,53.0373,47,2371,2722,3217,0,23223,30512,0,0.87,5.56,12:21:48 PM,51.17139165,2.62909517,0.8,RTK       ,,,,,,,2021-07-09 12:21:48+00:00,,,,,,,,
0,0,0,0,0,0,0,0.0263,0.518,0.4888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113,0.1309,0.8181,2.4125,3.6279,4.1992,5.6083,8.7851,11.9522,9.2244,2.1825,0.0743,0,26.6264,1.022,10.92,0.075,0.9974,0.07,-5,2021,7,9,12,21,49,7/9/2021,12:21:49 PM,7/09/2021 12:21:49,6.554,179.83,50.06,47,2372,2719,3216,0,23225,32858,0,0.866,5.767,12:21:49 PM,51.1713941,2.62910033,1,RTK       ,,,,,,,2021-07-09 12:21:49+00:00,,,,,,,,
0,0,0,0,0,0,0,0,0.0485,0.0416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0.6256,2.8668,3.7686,3.4086,4.6641,9.0842,13.7332,7.0011,0.3768,0,0,24.5403,1.0261,10.92,0.075,0.9968,0.08,-5,2021,7,9,12,21,50,7/9/2021,12:21:50 PM,7/09/2021 12:21:50,6.554,187.63,45.6514,47,2369,2716,3219,0,23226,23600,0,0.87,5.584,12:21:50 PM,51.1713964,2.62910767,1.2,RTK       ,,,,,,,2021-07-09 12:21:50+00:00,,,,,,,,
0,0,0,0,0,0,0.019,0.3229,0.7529,0.1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.1298,0.826,2.4772,3.7457,4.2494,5.4627,8.4257,12.1114,11.1557,3.8226,0.2525,0.0031,26.5728,1.0199,10.91,0.075,0.9963,0.07,-5,2021,7,9,12,21,51,7/9/2021,12:21:51 PM,7/09/2021 12:21:51,6.554,182.96,53.9179,47,2371,2718,3217,0,23225,34991,0,0.865,5.801,12:21:51 PM,51.17139838,2.62911433,0.8,RTK       ,,,,,,,2021-07-09 12:21:51+00:00,,,,,,,,
0,0,0,0,0,0,0.0035,0.2172,0.7889,0.2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0.1187,0.7863,2.4025,3.6818,4.2567,5.5737,8.5838,12.0124,10.5447,3.3678,0.1951,0.0019,26.6334,1.024,10.92,0.075,0.9968,0.07,-5,2021,7,9,12,21,52,7/9/2021,12:21:52 PM,7/09/2021 12:21:52,6.554,181.83,52.7555,47,2376,2719,3213,0,23225,35976,0,0.868,5.664,12:21:52 PM,51.17139973,2.629119,0.7,RTK       ,,,,,,,2021-07-09 12:21:52+00:00,,,,,,,,
0,0,0,0,0,0.0382,0.3207,0.5484,0.418,0.0416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,0.1627,0.9565,2.7031,3.9246,4.2691,5.1815,7.6816,11.5667,13.2183,7.3149,1.116,0.0474,26.2613,1.022,10.91,0.075,0.9968,0.07,-5,2021,7,9,12,21,53,7/9/2021,12:21:53 PM,7/09/2021 12:21:53,6.554,190.27,59.5246,47,2370,2717,3220,0,23224,35526,0,0.866,5.744,12:21:53 PM,51.1714014,2.6291245,1,RTK       ,,,,,,,2021-07-09 12:21:53+00:00,,,,,,,,
0,0,0,0,0,0.0173,0.2374,0.6952,0.4314,0.0359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126,0.1435,0.8982,2.673,3.9852,4.3247,5.1595,7.5083,11.3085,13.4865,8.3748,1.5817,0.0916,26.1222,1.0227,10.92,0.075,0.9968,0.07,-5,2021,7,9,12,21,54,7/9/2021,12:21:54 PM,7/09/2021 12:21:54,6.554,192.88,60.9654,47,2366,2712,3224,0,23225,34016,0,0.867,5.717,12:21:54 PM,51.17140348,2.62913133,1.1,RTK       ,,,,,,,2021-07-09 12:21:54+00:00,,,,,,,,
0,0,0,0,0,0.0032,0.0733,0.5678,0.6498,0.0783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109,0.1293,0.831,2.5247,3.8557,4.3307,5.3521,7.9178,11.5794,12.3324,5.9586,0.7113,0.0205,26.3246,1.0247,10.91,0.075,0.9974,0.07,-5,2021,7,9,12,21,55,7/9/2021,12:21:55 PM,7/09/2021 12:21:55,6.554,186.99,56.9269,47,2373,2712,3216,0,23225,33570,0,0.868,5.661,12:21:55 PM,51.17140482,2.62913833,0.9,RTK       ,,,,,,,2021-07-09 12:21:55+00:00,,,,,,,,
