Volume conc (microl/l) 1,Volume conc (microl/l) 2,Volume conc (microl/l) 3,Volume conc (microl/l) 4,Volume conc (microl/l) 5,Volume conc (microl/l) 6,Volume conc (microl/l) 7,Volume conc (microl/l) 8,Volume conc (microl/l) 9,Volume conc (microl/l) 10,Volume conc (microl/l) 11,Volume conc (microl/l) 12,Volume conc (microl/l) 13,Volume conc (microl/l) 14,Volume conc (microl/l) 15,Volume conc (microl/l) 16,Volume conc (microl/l) 17,Volume conc (microl/l) 18,Volume conc (microl/l) 19,Volume conc (microl/l) 20,Volume conc (microl/l) 21,Volume conc (microl/l) 22,Volume conc (microl/l) 23,Volume conc (microl/l) 24,Volume conc (microl/l) 25,Volume conc (microl/l) 26,Volume conc (microl/l) 27,Volume conc (microl/l) 28,Volume conc (microl/l) 29,Volume conc (microl/l) 30,Volume conc (microl/l) 31,Volume conc (microl/l) 32,Volume conc (microl/l) 33,Volume conc (microl/l) 34,Volume conc (microl/l) 35,Volume conc (microl/l) 36,TVC_recal,Laser transmission Sensor [mW],Supply voltage in calibrated units [V],External Auxiliary input 1 in calibrated units [mW],Laser Reference sensor in calibrated units [mW],Depth in calibrated units [m],Temperature in calibrated units [C],year,Month,day,hour,minute,second,DATE,TIME,DATE  & Time (format gps),External Auxiliary input 2 in calibrated units [mW],Sauter Mean Diameter [?],Total Volume Concentration [ppm],Relative Humidity [%],Accelerometer X [counts],Accelerometer Y [counts],Accelerometer Z [counts],Raw pressure (most sign bit),Raw pressure (least sign 16 bits),Ambient light (counts),Not used,Computed optical transmission over path,Beam-attenuation (c) [m-1].,Current Time,Latitude_ship,Longitude_ship,Speed Over Ground,GPSfix,Row Labels,Average of Salinity,Average of Temperature_C,Average of Turbidity_NTU,Average of Depth_m,Average of Chlorohyll_ug_L,Time,VPR lat,VPR long,VPR depth,majoraxis,minoraxis,angle,devz,linename,datetime,waterniveau LAT,waterniveau LAT smooth,Sonarscope LAT correction,Lisst_depth_m_LAT,inverted Depth in calibrated units [m],D10,D50,D75-D25,D75/D25,D90,D90-D10,D90/D10,Krumbein(Qd),PSD_slope,"TVC_(0.0, 3.0]","TVC_(20.0, 200.0]","TVC_(200.0, 420.0]","TVC_(3.0, 20.0]",Trask(So),kurtosis_geom_um,mean_geom_um,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,skewness_geom_um,sorting_geom_um
0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.1591,0.7038,0.2373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.1531,0.8876,2.4851,3.6336,4.1377,5.4446,8.532,12.1136,10.6289,3.2904,0.1797,0.0016,52.6042,1.0234,10.93,0.069,0.9974,0.08,-5.0,2021.0,7.0,9.0,12.0,21.0,46.0,7/9/2021,12:21:46 PM,7/09/2021 12:21:46,6.554,183.0,52.6042,47.0,2373.0,2713.0,3209.0,0.0,23226.0,29199.0,0.0,0.867,5.714,12:21:46 PM,51.17138722,2.62908467,1.0,RTK       ,,,,,,,2021-07-09 12:21:46+00:00,,,,,,,,,2021-07-09 12:21:46,5.0560000000000045,4.940668410677278,4.9805313535829345,4.8606684106772775,-0.08,103.85840332520594,194.66468261571822,90.39739342889473,1.6314811183697264,265.2382389892574,161.37983566405148,2.5538447587984954,0.7061822907751707,3.8229909963163586,0.0,25.2882,26.214199999999998,1.1018,0.7829048329835896,23.48043010466932,183.340699635045,230.0,5.11,,,,,-4.022435304298365,1.85683161354265
0.0,0.0,0.0,0.0,0.0,0.0367,0.2182,0.5354,0.3892,0.0402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0224,0.2016,1.0453,2.7074,3.7546,4.0627,5.0352,7.5925,11.6026,13.7233,8.106,1.3563,0.0652,60.495999999999995,1.0247,10.92,0.075,0.9957,0.08,-5.0,2021.0,7.0,9.0,12.0,21.0,47.0,7/9/2021,12:21:47 PM,7/09/2021 12:21:47,6.554,194.69,60.4961,47.0,2371.0,2719.0,3216.0,0.0,23227.0,30090.0,0.0,0.87,5.59,12:21:47 PM,51.17138922,2.62909067,0.9,RTK       ,,,,,,,2021-07-09 12:21:47+00:00,,,,,,,,,2021-07-09 12:21:47,4.945999999999998,4.940334496714256,4.980665228323084,4.860334496714256,-0.08,104.82961749422975,208.20525146994302,104.5957503742896,1.6974242964231805,293.81677661826893,188.98715912403918,2.8028030974589964,0.7633472330206332,3.262448127040539,0.0367,24.4229,34.8534,1.1829999999999998,0.767546671821904,23.275449538529124,195.32275240216416,273.0,4.33,,,,,-3.963762795866964,1.9200092038342558
0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.239,0.7311,0.1847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.1333,0.8277,2.4493,3.6976,4.2301,5.4931,8.468,11.9931,10.7819,3.5667,0.2206,0.0024,53.037299999999995,1.0261,10.92,0.075,0.9963,0.06,-5.0,2021.0,7.0,9.0,12.0,21.0,48.0,7/9/2021,12:21:48 PM,7/09/2021 12:21:48,6.554,183.02,53.0373,47.0,2371.0,2722.0,3217.0,0.0,23223.0,30512.0,0.0,0.87,5.56,12:21:48 PM,51.17139165,2.62909517,0.8,RTK       ,,,,,,,2021-07-09 12:21:48+00:00,,,,,,,,,2021-07-09 12:21:48,4.8859999999999975,4.940012351502974,4.980799103063233,4.880012351502974,-0.06,104.27714591132575,195.12364149345612,91.68145761740325,1.6403820550735373,266.50800916957564,162.23086325824988,2.5557662404397443,0.7140318665307399,3.7534242251947076,0.0,25.3109,26.564700000000002,1.1617,0.7807778695724913,23.14534102588317,183.37864489888634,230.0,5.11,,,,,-4.016999766166537,1.8809068743866983
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,0.518,0.4888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.1309,0.8181,2.4125,3.6279,4.1992,5.6083,8.7851,11.9522,9.2244,2.1825,0.0743,0.0,50.059799999999996,1.022,10.92,0.075,0.9974,0.07,-5.0,2021.0,7.0,9.0,12.0,21.0,49.0,7/9/2021,12:21:49 PM,7/09/2021 12:21:49,6.554,179.83,50.06,47.0,2372.0,2719.0,3216.0,0.0,23225.0,32858.0,0.0,0.866,5.767,12:21:49 PM,51.1713941,2.62910033,1.0,RTK       ,,,,,,,2021-07-09 12:21:49+00:00,,,,,,,,,2021-07-09 12:21:49,5.115999999999997,4.939701795101331,4.9809329778033815,4.869701795101331,-0.07,103.77735164060049,189.16906296209442,85.57823046342838,1.6062446803955273,259.40514260090123,155.62779096030073,2.499631552549805,0.6836916763580638,3.4930379626216634,0.0,25.5933,23.4334,1.0331000000000001,0.7890311497165521,23.776159127924906,180.10473998606943,230.0,5.11,,,,,-4.044049634310048,1.8233249595707832
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.6256,2.8668,3.7686,3.4086,4.6641,9.0842,13.7332,7.0011,0.3768,0.0,0.0,45.6514,1.0261,10.92,0.075,0.9968,0.08,-5.0,2021.0,7.0,9.0,12.0,21.0,50.0,7/9/2021,12:21:50 PM,7/09/2021 12:21:50,6.554,187.63,45.6514,47.0,2369.0,2716.0,3219.0,0.0,23226.0,23600.0,0.0,0.87,5.584,12:21:50 PM,51.1713964,2.62910767,1.2,RTK       ,,,,,,,2021-07-09 12:21:50+00:00,,,,,,,,,2021-07-09 12:21:50,4.9959999999999996,4.9394197304225615,4.98106685254353,4.8594197304225615,-0.08,105.26465213866132,188.94744096168424,76.01509672592397,1.5312188209524802,246.39548479821704,141.13083265955572,2.340723878264939,0.614680467909364,2.785041590713183,0.0,24.4502,21.1111,0.0901,0.8081302631879375,23.002642037886798,187.81804656885342,230.0,119.0,5.11,,,,-2.5855777031414786,1.4136552705718484
0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.3229,0.7529,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.1298,0.826,2.4772,3.7457,4.2494,5.4627,8.4257,12.1114,11.1557,3.8226,0.2525,0.0031,53.9181,1.0199,10.91,0.075,0.9963,0.07,-5.0,2021.0,7.0,9.0,12.0,21.0,51.0,7/9/2021,12:21:51 PM,7/09/2021 12:21:51,6.554,182.96,53.9179,47.0,2371.0,2718.0,3217.0,0.0,23225.0,34991.0,0.0,0.865,5.801,12:21:51 PM,51.17139838,2.62911433,0.8,RTK       ,,,,,,,2021-07-09 12:21:51+00:00,,,,,,,,,2021-07-09 12:21:51,4.836000000000003,4.939155229298367,4.981200727283679,4.869155229298367,-0.07,104.15492442617503,196.0293101638749,92.89515762805743,1.6478564826713427,267.5455749526919,163.39065052651685,2.5687270806127662,0.7205905988594274,3.7052089811247657,0.0,25.3275,27.345299999999998,1.2453,0.7790051119259214,22.58658900581863,183.33139300791203,230.0,5.11,,,,,-3.9929909612078074,1.9103943121508014
0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.2172,0.7889,0.2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.1187,0.7863,2.4025,3.6818,4.2567,5.5737,8.5838,12.0124,10.5447,3.3678,0.1951,0.0019,52.7553,1.024,10.92,0.075,0.9968,0.07,-5.0,2021.0,7.0,9.0,12.0,21.0,52.0,7/9/2021,12:21:52 PM,7/09/2021 12:21:52,6.554,181.83,52.7555,47.0,2376.0,2719.0,3213.0,0.0,23225.0,35976.0,0.0,0.868,5.664,12:21:52 PM,51.17139973,2.629119,0.7,RTK       ,,,,,,,2021-07-09 12:21:52+00:00,,,,,,,,,2021-07-09 12:21:52,4.860000000000001,4.938882591840834,4.981334602023828,4.868882591840833,-0.07,104.37601998106614,194.031839397868,90.49438431581297,1.6329458386181255,265.51352020854273,161.1375002274766,2.543817250904058,0.7074769405304306,3.7932472196209015,0.0,25.4129,26.1219,1.2205000000000001,0.7825536291041543,22.663198985555287,182.16617280951567,230.0,5.11,,,,,-4.003656114605319,1.8985510956967584
0.0,0.0,0.0,0.0,0.0,0.0382,0.3207,0.5484,0.418,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,0.1627,0.9565,2.7031,3.9246,4.2691,5.1815,7.6816,11.5667,13.2183,7.3149,1.116,0.0474,59.5246,1.022,10.91,0.075,0.9968,0.07,-5.0,2021.0,7.0,9.0,12.0,21.0,53.0,7/9/2021,12:21:53 PM,7/09/2021 12:21:53,6.554,190.27,59.5246,47.0,2370.0,2717.0,3220.0,0.0,23224.0,35526.0,0.0,0.866,5.744,12:21:53 PM,51.1714014,2.6291245,1.0,RTK       ,,,,,,,2021-07-09 12:21:53+00:00,,,,,,,,,2021-07-09 12:21:53,5.020000000000005,4.9386049916279235,4.981468476763976,4.868604991627923,-0.07,104.20671918109713,204.9909378265291,104.50995642618659,1.7122090783905135,289.6322567411542,185.42553756005708,2.779400973538114,0.7758588804422994,3.437025069051267,0.0382,24.8944,33.2633,1.3287,0.7642256364542667,22.164507668532245,190.8469353677121,273.0,4.33,,,,,-3.9287625494449814,1.9736481170908122
0.0,0.0,0.0,0.0,0.0,0.0173,0.2374,0.6952,0.4314,0.0359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.1435,0.8982,2.673,3.9852,4.3247,5.1595,7.5083,11.3085,13.4865,8.3748,1.5817,0.0916,60.9653,1.0227,10.92,0.075,0.9968,0.07,-5.0,2021.0,7.0,9.0,12.0,21.0,54.0,7/9/2021,12:21:54 PM,7/09/2021 12:21:54,6.554,192.88,60.9654,47.0,2366.0,2712.0,3224.0,0.0,23225.0,34016.0,0.0,0.867,5.717,12:21:54 PM,51.17140348,2.62913133,1.1,RTK       ,,,,,,,2021-07-09 12:21:54+00:00,,,,,,,,,2021-07-09 12:21:54,5.01,4.938342981493867,4.981602351504126,4.868342981493867,-0.07,105.03560807031837,207.81593074749634,107.36666460095552,1.724483076672889,295.97788336340335,190.94227529308498,2.8178813718606217,0.7861639708863872,3.3421396187157537,0.0173,24.705000000000002,34.8431,1.3999000000000001,0.7615010940539778,21.744408824319223,193.5192510434917,273.0,4.33,,,,,-3.8833164895875716,1.9834729074304045
0.0,0.0,0.0,0.0,0.0,0.0032,0.0733,0.5678,0.6498,0.0783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.1293,0.831,2.5247,3.8557,4.3307,5.3521,7.9178,11.5794,12.3324,5.9586,0.7113,0.0205,56.92679999999999,1.0247,10.91,0.075,0.9974,0.07,-5.0,2021.0,7.0,9.0,12.0,21.0,55.0,7/9/2021,12:21:55 PM,7/09/2021 12:21:55,6.554,186.99,56.9269,47.0,2373.0,2712.0,3216.0,0.0,23225.0,33570.0,0.0,0.868,5.661,12:21:55 PM,51.17140482,2.62913833,0.9,RTK       ,,,,,,,2021-07-09 12:21:55+00:00,,,,,,,,,2021-07-09 12:21:55,4.890000000000002,4.938097502993083,4.981736226244275,4.868097502993082,-0.07,104.60440737098922,201.03740749368154,100.68498219577984,1.6936565979659404,280.9424593775061,176.33805200651688,2.685761206801905,0.760141386692692,3.536239183953459,0.0032,24.9522,30.6022,1.3692,0.7683999374378367,21.693312333642023,187.480398183467,273.0,5.11,,,,,-3.9086912659968873,1.9626640645792286
